"category_id","brand_id","Category","Brand","Name","Image Link","Currency","Unit Price","Purchase Price","Product Description","unit","current_stock","meta_title","meta_description","slug","video_provider","video_link"
"","","Mobiles---Tablets","Apple","Apple iPhone 12 Pro, 512GB , 5G, Smartphone Gold With FaceTime","https://rootsrwanda.rw/uploads/products/16054607151O22RDPG1GGRROL1ODRG.jpg","Rwf","","0","iPhone 12 Pro , 15.49 cm (6.1 inch) Super Retina XDR display, Ceramic Shield, tougher than any smartphone glass and Surgical-grade stainless steel body. Available in Four finishing touches. Pacific Blue, Gold, Silver and Graphite. A14 Bionic is the first 5-nanometre chip in the industry, with advanced components literally atoms wide. With LiDAR technology which NASA is using LiDAR technology for its next Mars landing. Pro camera system enable A new day for Night mode. Night mode comes to both the Wide and Ultra Wide cameras, and it’s better than ever at capturing incredible low-light shots. LiDAR makes Night mode portraits possible. Even with a single small light source, LiDAR and our A14 Bionic can render every pattern and texture in the foreground along with realistic colour throughout the room. iPhone 12 Pro is even better at separating the subject from the background. And creative controls let you adjust the background blur and light on faces. Smart HDR 3 captures every bit of golden hour magic, pulling out all the texture in the rock, while staying true to the subtle blues of the sky. iPhone 12 Pro run from 8 to 10 bit HDR recording, capturing 700 million colours for much more lifelike video. Then it goes one better, recording in Dolby Vision. iPhone 12 Pro has 4G LTE speeds up to 2 Gbps, so you can download big files, upload high pixel photos and stream any video faster than ever. also Up to 6meter for 30 mins Dust/water resistant capacity","","","","","","",""
"","","Mobiles---Tablets","Apple","Apple iPhone 12 Pro 256 GB, Graphite With FaceTime","https://rootsrwanda.rw/uploads/products/1605459329GITDH2DAROPIPTRE2EIE.jpg","Rwf","","0","iPhone 12 Pro , 15.49 cm (6.1 inch) Super Retina XDR display, Ceramic Shield, tougher than any smartphone glass and Surgical-grade stainless steel body. Available in Four finishing touches. Pacific Blue, Gold, Silver and Graphite. A14 Bionic is the first 5-nanometre chip in the industry, with advanced components literally atoms wide. With LiDAR technology which NASA is using LiDAR technology for its next Mars landing. Pro camera system enable A new day for Night mode. Night mode comes to both the Wide and Ultra Wide cameras, and it’s better than ever at capturing incredible low-light shots. LiDAR makes Night mode portraits possible. Even with a single small light source, LiDAR and our A14 Bionic can render every pattern and texture in the foreground along with realistic colour throughout the room. iPhone 12 Pro is even better at separating the subject from the background. And creative controls let you adjust the background blur and light on faces. Smart HDR 3 captures every bit of golden hour magic, pulling out all the texture in the rock, while staying true to the subtle blues of the sky. iPhone 12 Pro run from 8 to 10 bit HDR recording, capturing 700 million colours for much more lifelike video. Then it goes one better, recording in Dolby Vision. iPhone 12 Pro has 4G LTE speeds up to 2 Gbps, so you can download big files, upload high pixel photos and stream any video faster than ever. also Up to 6meter for 30 mins Dust/water resistant capacity .","","","","","","",""
"","","Mobiles---Tablets","Apple","Apple iPhone 12, 64GB , 5G, Smartphone White with FaceTime.","https://rootsrwanda.rw/uploads/products/1605442824HEAA2W1WAAWWEEIH2HIE.jpg","Rwf","","","Wow. Just wow. Apple iPhone 12, 64GB Storage, 5G, White Color With FaceTime ,6.1 inches ,1170 x 2532 pixels Display Resolution, with sensor of FaceTime, Face ID, gyro, proximity, barometer, accelerometer, compass. A14 Bionic, the fastest chip in a smartphone. iPhone 12 has Night mode on all cameras gives dimly lit photos even selfies a new level of detail.. AirPlay quality colour and detail. gives you cinematic experience.","","","","","","",""
"","","Mobiles---Tablets","Apple","Apple iPhone 12, 128GB, 5G, Blue With FaceTime","https://rootsrwanda.rw/uploads/products/1605442026LEUBL2EAL2U2UUELBB22.jpg","Rwf","","0","Wow. Just wow. Apple iPhone 12, 128GB Storage, 5G,Blue With FaceTime ,6.1 inches ,1170 x 2532 pixels Display Resolution, with sensor of FaceTime, Face ID, gyro, proximity, barometer, accelerometer, compass. A14 Bionic, the fastest chip in a smartphone. iPhone 12 has Night mode on all cameras gives dimly lit photos even selfies a new level of detail.. AirPlay quality colour and detail. gives you cinematic experience.","","","","","","",""
"","","Mobiles---Tablets","Apple","Apple iPhone 12, 128GB, 5G, Red With FaceTime","https://rootsrwanda.rw/uploads/products/16054409411R2AE2RRRD1EEE1AD22D.jpg","Rwf","","0","Wow. Just wow. Apple iPhone 12, 128GB Storage, 5G,Red With FaceTime ,6.1 inches ,1170 x 2532 pixels Display Resolution, with sensor of FaceTime, Face ID, gyro, proximity, barometer, accelerometer, compass. A14 Bionic, the fastest chip in a smartphone. iPhone 12 has Night mode on all cameras gives dimly lit photos even selfies a new level of detail.. AirPlay quality colour and detail. gives you cinematic experience.","","","","","","",""
"","","Mobiles---Tablets","Apple","Apple iPhone 12, 256GB, 5G, Green, With FaceTime","https://rootsrwanda.rw/uploads/products/1605334274GEEEGGRGB1GGGNR2ENBB.jpg","Rwf","","0","Wow. Just wow. Apple iPhone 12, 256GB Storage, 5G, Green With FaceTime ,6.1 inches ,1170 x 2532 pixels Display Resolution, with sensor of FaceTime, Face ID, gyro, proximity, barometer, accelerometer, compass. A14 Bionic, the fastest chip in a smartphone. iPhone 12 has Night mode on all cameras gives dimly lit photos even selfies a new level of detail.. AirPlay quality colour and detail. gives you cinematic experience.","","","","","","",""
"","","Mobiles---Tablets","Apple","Apple iPhone 12, 64GB, 5G, Black With FaceTime","https://rootsrwanda.rw/uploads/products/1605328081ACLLC1AA1BBC2AB2CA1A.jpg","Rwf","","0","Wow. Just wow. Apple iPhone 12, 64GB Storage, 5G, Black With FaceTime ,6.1 inches ,1170 x 2532 pixels Display Resolution, with sensor of FaceTime, Face ID, gyro, proximity, barometer, accelerometer, compass. A14 Bionic, the fastest chip in a smartphone. iPhone 12 has Night mode on all cameras gives dimly lit photos even selfies a new level of detail.. AirPlay quality colour and detail. gives you cinematic experience.","","","","","","",""
"","","Mobiles---Tablets","Apple","Apple iPhone 6s 64GB, 2GB RAM","https://rootsrwanda.rw/uploads/products/160414741816ss111ss11s6s1661s6.jpg","Rwf","","0","Apple iPhone 6s,Battery:2915 mAh non removable li-ion battery(talk time up to 14hrs,music play up to 50hrs and Fast battery charging)Camera:12MP.Touch id capacitive touchscreen, 10 multitouch points, 3D Touch, IPS, and glossy.Touch ID fingerprint sensor, Barometer, Three-axis gyro, Accelerometer, Proximity sensor, Ambient light sensor.","","","","","","",""
"","","Mobiles---Tablets","Apple","Apple iPhone 7 Plus 128GB,3GB RAM","https://rootsrwanda.rw/uploads/products/1604140008lpplususu777l7ussplp.jpg","Rwf","","0","Apple iPhone 7 Plus ,Battery:2900mAh non removable li-ion battery(talk time up to 21hrs,music play up to 6 0hrs and Fast battery charging)Camera:12MP.Sensors Fingerprint, accelerometer, gyro, proximity, compass, barometer.IP67 water and dust resistant","","","","","","",""
"","","Mobiles---Tablets","Apple","Apple iPhone 7 128GB, 2GB RAM","https://rootsrwanda.rw/uploads/products/160413634877hi13iphpnoh3oi7po7.jpg","Rwf","","0","Apple iPhone 7,Battery:1960mAh non removable li-ion battery(talk time up to 14hrs,music play up to 40hrs and Fast battery charging)Camera:12MP.Sensors Fingerprint, accelerometer, gyro, proximity, compass, barometer.","","","","","","",""
